18||#2	QTV kiểm tra hộ mình..số đơn hàng 4653663 hoàn thành chưa ạ...e có thể tới shop lấy hàng được chưa
18||#272	Cái thay pin HK
18||#274	cho em hỏi mua đặt mua online với mua tại cửa hàng fpt có khác gì nhau ko ạ?
18||#277	PMH 500k có đổi sang tiền mặt dc k bạn
18||#278	cho e hỏi là tại sao vivo v5 lại có đèn lúc nào cũng chớp tắt vậy ạ. mà không biết có tắt được không ạ
18||#287	minh
18||#288	Chào bạn Mình ở An Giang Mình muốn tìm mua 1 cái vivo v5 củ ở FPT Long Xuyên có không ạ...... và nếu không có thì mua trả góp mình có nhận được ưu đãi không? cảm ơn ạ!
18||#291	Tặg PMH 500.000 có trừ vào khi mua đt k z ạ
18||#294	PMH 500.000d sẽ đc trừ trực tiếp vào sp khi e mua ỡ FPT Shop phãi k ạ Và khi e mua trực tiếp tại FPT Shop thi có đc tặq : Loa tiểu V có dây , gậy chụp ảnh và giá đỡ đt phải k ạ
18||#295	Cho e hỏi đặt hàq rồi lại shop lấy có đc tặq PBH 500.000d khôq
18||#298	Mk vừa mua vivo v5 z cho mk hỏi ví dụ vào ứng dụng zalo rồi trượt bỏ ứng dụng thì làm thế nào ạ. Kiểu như ip ấn 2 lần nút home thi trượt bỏ đấy ạ
18||#301	Minh moi mua maybaduoc tang PMH500sao ko dc tru truc tiep vao san pham ma phai mua phu kien vay
18||#302	Trên đây để cửa hàng ở quận 2 Nguyễn Thị Định còn hàng màu gold thì tức mình tới đó sẽ mua đc đúng ko ạ
18||#306	Lúc đặt hàng đt e lỡ tắt nguồn. Vậy làm sao để kiểm tra xem sp mình đã đặt hàng hoàn tất chưa.
18||#308	Cho e hỏi phiếu mua hàng 500k có được trừ thẳng vào sp mình mới vừa mua ko?
18||#309	Phiếu mua hàng có đc tặng trừ vào giá tiền trả góp ko
18||#314	có thể giảm giá ko
18||#327	Cho e hỏi, nếu e không sử dụng phiếu mua hàng, hoặc sử dụng nhưng không hết giá trị 500k, thì số tiền còn trên PMH có được trừ vào giá trị của máy không ạ
18||#328	Cho em hỏi xíu. Lúc dán đt pà chị đó dán luôn cái camera sau. Chụp thấy mờ kinh khủng. H em tự lấy dao lam rạch chỗ camera đc k ạ. Hay phải đem ra tiệm
18||#330	Hàng cũ
18||#340	cho em hỏi có thay màn hình không, của em bị cấn hư màn hình, nhưng vẫn nghe gọi được
18||#353	Tại sao nokia 105 (2017) lại rẻ hơn sp này vậy ad?
18||#357	bạn ơi, cho mình cái máy này với
18||#359	Cho hỏi là hôm qua mới mua máy, mà mật khẩu nguyên bản của máy là gì vậy ạ?
18||#360	Nokia 105 2 sim em mua cách đây 4 tháng . Tình hình là dây sạc bị chuột cắn đứt, mà đt lại hết pin nên em mới lấy sạc khác gắn cho đt, nhưng sạc 1 tiếng mà nó vẫn ko sạc đc. Vậy là do sạc hay do pin đt vậy shop ???
18||#361	Mình mới mua máy hôm qua. Để 1 tiếng máy tự động tắt nguồn. cứ 1 tiếng là tắt nguồn là sao QTV?
18||#366	quên mã khoá phím thì làm sao ạ?
18||#369	Cho hỏi làm sao để biết được mã pin vậy bạn.
18||#370	mình mới mua sản phẩm đc 1 hôm thì máy tắt nguồn 2 lần, nhưg khi đem xuống CH thì . máy ko bị nữa, cho nên giờ ko biết làm sao
18||#372	Cho e hoi e e mua may nay rui gio muon ban lai shop thau vo bao nhieu a . Co cần hộp và sạc ko a hay chỉ đem máy tới thui
18||#373	Shop ơi Ship tôi Máy Nokia 105 Dual Màu đen nhé
18||#375	danh bạ máy này lưu được bn số vậy nhỉ
18||#381	Fpt tại hưng hà thái bình có máy này đổi trả ko.và có thì có giao hàng ko
18||#383	Có thay vỏ đt được không ạ
18||#387	máy này thay sim có phải tắt nguồn ko
18||#389	Cho mình hỏi mật mã để khôi phục máy với ạ. Muốn cài đặt khoá máy mà không thể biết mật mã là bao nhiêu và cũng không được nói gì tới quay số nhỉ ??
18||#393	Khi nào thì quay giải trúng vàng 9999 vậy em
18||#397	có game ko
18||#400	cho hỏi sản phẩm này danh bạ lưu trũ được bao nhiêu sô vậy ạ?
18||#405	Điện thoại này sản xuất ở việt nam?
18||#406	Điện thoại này của Việt Nam sản xuất phải không?
18||#407	dt này lưu đc bn tin nhắn vậy?
18||#417	Điện thoại FPT B2 có thẻ nhớ không bạn
18||#420	sao khong thấy khe sim
18||#422	cách bật javascript ạ
18||#423	Cách bật Javascript
18||#424	Cách bật Javascript sao ạ Mong chỉ ạ E ko gọi tổng đài đc nên đừng kêu liên hệ tổng đài nha Mong ạ
18||#427	mình muốn khôi phục cài đặt gốc của dt cần mã pin ad cho hỏi ma pin dt là bao nhiêu thế
18||#436	Cho e hỏi giữa cốc sạc có nguồn vào 5A nguồn ra 2A, và cốc sạc nguồn vào 5A nguồn ra 2.4A thì cốc sạc nào sạc nhanh hơn ạ
18||#437	Cho e hỏi nguồn pin vào của cốc sạc oppo f3 là bao nhiêu ạ
18||#438	Ốp F1s sử dụng cho F3 đc không ạ
18||#439	Miếng dán màn hình có sẵn trong máy có bán k ạ... Bị xước Nhiều nên muốn thay
18||#442	Qtv cho em hỏi f3 của em xem video trên facebook với YouTube lúc thì video rất rõ lúc thì mờ.liệu đây có phải lỗi không và cách khắc phục như thế nào ạ
18||#466	Dạ dt em quên mật khẩu. Bây h bắt em nhập mật khẩu mới nhận dấu vân tay được mk mật khẩu em kh nhớ thì h phải lm sao ạ
18||#471	Cho e hoi oppo f3 Sao e gắn tay nghe nhung ko nghe dc vay ạ. Hom qua e van nghe binh thường nhung hom nay e gan vao thi ko nghe dc nua e da thu tay nghe ko co hu roi ạ
18||#479	Cái này vỏ bằng kim loại hết à bạn
18||#480	Oppo f3 co kinh cuong luc lap san trog may khi mo hop
18||#487	Thời gian lướt wed và chơi game thì máy dùng được trong thời gian bao lâu nếu để ánh sáng 50%
18||#494	Đt của mình để từ đêm đến sáng xuống hơn 10% pin thì có bị sao k ạ?
18||#497	Toi mjn mua mau do. Dat hang truoc dk k shop oi
18||#503	Shop oi cho e hỏi Oppo f3 e mua chưa tới 1 tháng mà nút ân tắt nguồn khó.... Tắt nguồn đi mở toàn ra tiếng trúng quốc....hk AK.... Youtube thì lúc kết nối duoc lúc khong duoc...may e bi s z shop
18||#507	Em mua điện thoại f3 gần 4 tháng . có dán lại màn hình 1 lần không tính phí . giờ dán lại có tính phí không vậy .
18||#529	B ơi cho mk hỏi mk mua oppo f3 đc 1 tuần mà cứ bị hao pin đg 50% k dùng gì cả sáng hôm sau thấy còn 9% hà.mà sạc vào dùng ol mxh đc tầm 3phut xuống 5%
18||#534	Cho em hỏi là oppo f3 sử dụng thẻ 128g tốc độ chạy sẽ như thế nào, và thẻ 64g thì như thế nào?
18||#540	Tỉnh nào được quay xe sh vậy
18||#552	Cho em hoi Sao em khoi phục cai đặt may xong thi ĐT k Nhân thẻ nhơ nua ạ ĐT với the nhơ em mua ngay 25/10 nay em co gan thêm the nhơ khác rồi bâm khôi phục rồi ĐT no bao the nhơ bi lôi bắt đinh dang lai the nhơ em dinh dạng xong dt van k Nhân the nhớ
18||#553	Cho e hỏi lúc trc e mua dt ben fe mà e đóng trẽ nhiu lần như h đã hết hộp đồng bây h e mua ở ngân hàng khác có dc l ạ
18||#565	Ad cho e hỏi máy oppo f3 của e mua dk tầm 10 ngày .mà sao 5 ngày đầu 3 sạc gần 2 tiếng đồng hồ mới đầy pin.. Mà h sao sạc chỉ tầm 1 tiếng là pin đầy oy... Có phải hỏng pin oy k ạ pin
18||#570	Cho mình hơi.mình môi mua oppof3 mình thay co 2 chỗ không hiểu đo là không thấy sim hiển thị logo mạng và phải phân danh ba lưu số điện thoại có số tên người dùng chỉ hiển thị một chữ cái đầu là sao?
18||#572	Ad cho hoi chuong trinh duoc tang phieu la moi co ak hay la mua tra gop k duoc nhan phieu a
18||#578	Mua koa giao dien thoai tan noi ko vay shop
18||#589	ad ơi kiểm tra giúp em imel máy oppo f3 này có phải mua của cửa hàng không giúp e với. IMEL1: 865251032553136 IMEL2: 865251032553128
18||#590	Cho minh hoi cua hang bên minh có thay khay sim Oppo f3 ko ạ
18||#595	Cho hỏi . E ký hợp đồng vs công ty được hơn 6 tháng rồi . Có thể xét duyệt cho e chương trình FPT Friend k ạ ?
18||#600	Vậy là mình đổi ngang sang đúng không bạn
18||#620	Mình lỡ quên hình ảnh để mở khóa. Giờ làm sao?
18||#625	Mình mới mua đt oppo f3 đc hai ngày... Hôm nay tưj nhiên màn hình điện thoại xuất hiện 1 vạch dọc xuống màu vàng như đường chỉ... Vậy phải làm sao... Mình mua ở fpt
18||#633	Cho mình hỏi xíu ạ f3 có mấy loại màu vậy
18||#637	Em mới mua con f3 này xong.về em so vs con samsung galaxy j7 prime thì thấy màu hiển thị của f3 ngả vàng hơn.cho em hỏi là do f3 lỗi hay mặc định màu hiểu thị nó vàng vậy rồi ạ?
18||#661	Mua ĐT này dc 1 tháng mà thấy hao pin.. Tớ kiểm tra theo cách mở độ sáng màng hình. Thì 1 giờ xuống 16%.. Thế pin có bình thường không?
18||#669	Chào shop. Cho e hỏi 1 chút về sản phẩm oppo f3 đc k ạ
18||#677	Cho mình hỏi sao đt sáng vừa cập nhật phần mềm mà tự nhiên sim bị tắt có lỗi gì phiên bản mới k ạ
18||#678	Cho mình hỏi nếu sp bị lỗi phải làm sao ạ.? Mình mua f3 này cũng gần 1 tháng mà sao dt tự động tắt nguồn hoài vậy.? Đơ máy, đứng máy.. Mua trả góp là bán cho dt nv hả.. Riết nản thiệt chứ, tắt nguồn mở lên chưa kịp bấm gì là tắt nguồn tiếp rồi.. Nản
18||#698	Em nghe một số người nói f3 chỉ có phần giữa là kim loại còn lại đc lm từ nhựa phải không ad, vd khung máy, anten phát sóng
18||#701	Sao may mình vừa mua được 1thang mà pin rat nhanh hết do gì ạ
18||#703	Bên mình có thay mặc kính cường lực k vậy ad..
18||#704	Khung và 2 dãy anten đc lm từ nhựa phải hk ad? Dùng lâu năm hay trầy xước vv...có bị trốc sơn hk ạ? Màu đen và vàng Thân!
18||#705	Khug của oppo f3 đc lm từ gì z ad?, nếu khug và 2 dãy anten đc lm từ nhựa thì lớp sơn giả kim loại có bị trốc hk ad? Ví dụ: dùng lâu năm, trầy xước v.v..... . Màu đen với vàng Thân!
18||#709	Giờ em muốn mua Em có tra tiền trước ko a
18||#712	Tại sao máy mk ms mua đk 3 ngày mà có wifi k bắt được kêu hết thời giab kết nối máy thì hao pin.
18||#713	Cho e hỏi mua máy con thêm bảo hiểm gì k ạ số tiền cn phát sinh k ạ
18||#714	Mua được 5 ngày mà Sao thấy hao pin qá!! Đem ra kiếm tra hộ mình được không??
18||#715	Ad kiểm tra giúp e sdt 0165 861 4820 có mua máy này ở fpt ko ạ
18||#726	Minh moi mua con pin j7 pro duoc 1thang ma sau no ua bi nhoa man hinh hoai nhung minh cham vao man hinh thi het mot lat thi cung nhoa Nia. Minh xai ki lam khong co bi Va cham manh vi het. Minh mua may moi 100/: vay qtv thong tin cho minh biet som nhe xin cam on .
18||#731	Voi lai oppo f3 minh muon nt binh thuong ko co chu hien len duoc ko a
18||#732	Cho minh hoi May dua ban minh noi oppo xai mot thoi jan la may se chay cham co dung ko a
18||#739	khi gọi bằng messenger thì ảnh của máy mình nhìn thấy không được nét là do lỗi cái gì vậy?
18||#745	Khi mình mua điện thoại nhân viên nói được phiếu mua hàng trị giá 200 ngàn mà mình không có nhu cầu mua loa nấm hoặc sạc dự phòng ngay lúc đó.nhân viên cũng không đưa phiếu đó cho mình vậy lần sau mình muốn mua thì có được giảm giá không ạ
18||#746	Em mua điện thoại Oppo được tặng thêm đồng hồ. Mà giờ đồng hồ bị treo. Hiện 2 đèn màu xanh. Ko làm đc gì. Giờ e phải làm sao ạ. E cảm ơn
18||#747	Cho em hỏi em bị quen mat khau hinh tren oppo f3 chỉ em lam sao để xóa mat khẩu ạ
18||#758	Có giảm ko ạ shop
18||#766	f3 đen nhám không dán phía sau được vậy có bị trầy không
18||#772	Ad cho e hỏi sao khi cắm tai nghe vào là máy tự động phát nhạc vậy ạ ?? Dù trước đó đã tắt hết mọi ứng dụng rồi??
18||#777	Minh cung mua một cai roi tra con lan nua la hết gio minh mua thêm cai nua co dk k
18||#783	E muốn quy đơn hàng oppo f3 màu đỏ
18||#785	HD Saison chủ nhật có duyệt hồ sơ k QTV tl giúp e
18||#793	Cho em hỏi nếu như không là sv thì em có cần bảo hiểm y tế kh? Chứ em không có mua bảo hiểm y tế ở trường
18||#794	E mới mua dc hơn 2 tháng dừ vân tay k dùng dc nữa, e phải làm sao ạ? E mua trả góp
18||#796	Em muốn mua làm thế nào a
18||#799	E mua iPhone 6s o shop cua Minh Gio wen mk iCloud roi cho mjnh hoi co the pha duoc khong vay
18||#800	E mua iPhone 6s o shop cua Minh Gio wen mk iCloud roi cho mjnh hoi co the pha duoc khong vay
18||#813	Cho em hỏi đt oppo f3 của em em lỡ làm nứt mặt kính màn hình giờ em đem đến fpt thay mặt kính có tính phí không ạ ?
18||#820	Cho em xin số nhà mạng của fpt ạ
18||#822	Cho mình hỏi mình dùng sim ở fpt một tháng 50k .mà mình muon đăng kí gói cước đó như thế nào
18||#826	May khong mua tai shop thi gia duoc bao nhieu
18||#831	CHO MINH HOI SAO OPPO F3 KO CAI DAT DUOC LOGO NHA MANG TREN MAY
18||#844	Qtv cho e hỏi sao e mới mua con f3 hôm qua mà sao màn hình cứ nhòa nhòa là sao ạ...
18||#846	Sao oppo f3 red mình mới mua bỏ thẻ nhớ vào dùng 1 chập là ko thấy dữ liệu đâu mất luôn. Khởi động lại máy thì thấy có dữ liệu hình ảnh dùng vài tiếng lại mất. Đều như vậy cả. Thử 2 thẻ nhớ khác nhau cũng bị vậy. Bỏ thẻ máy samsung thì dùng bình thường chẳng vấn đề gì cả. Vậy là do lỗi của máy ko nhận thẻ nhớ phải ko shop.
18||#862	tai sao oppo f3 ko cai dat duoc logo nha mang
18||#872	E băn khoăn sao khi xem máy lại có sạc dự phòng có kèm Quà tặng kèm có nơ sao mua máy lại k có vậy
18||#874	quảng cáo ghi là 100% trúng tai nghe tại sao trong trang chính lại ghi hoặc bộ quà tặng hả ad
18||#886	Máy oppo f3 của mình gọi video trên zalo va message thì bên kia nói mình nghe. Còn mình nói họ không nghe gì cả. Ad giúp mình cái
18||#892	Pmh mua được những gì ạ
18||#903	anh oi cho e hoi .may oppo f3 luong pin 3200 mah thi len koi youtue bao nhieu tieng moi het pin vay ..
18||#905	Oppo f3 của mình Camera sau khong bật được đèn led la sao nhi
18||#913	Cho mình hỏi có mở khóa được máy Oppo f3 ko vậy ?
18||#914	Cho e hỏi oppo f3 có dán được kính cường lực không vậy?? Hay không cần dán vì đã có 1 lớp kính cường lực mong rồi??
18||#922	Z cho mình hỏi thêm tai minh dag làm tai cty chín Tân pen fbt có hỗ trợ k z mình làm 8nam tai cty rui
18||#925	Lúc em mới mua máy có dán combo 9 mấy nghìn giờ em vào dán cường lực có tính phí ko ad
18||#937	Em sắp đi du học, điện bên đó chỉ có 110v, hk phải 220v như bên mình, em phải lm sao ạ
18||#938	Pin oppo f3su dung bình thường thì dc khoang bao lâu ak
18||#943	Em có quay vòng đc pmh 300k để mua loa nấm với lại sdp mà em ko mua có đc lấy tiền đó ko ạ. Em quay mà đc pmh vậy cỡ 3 tuần rồi thì cái pmh đó làm sao lấy sj
18||#945	Tặng phiếu mua hàng 200 nếu không lấy thì trừ vào tiền điện thoại đc không ạ
18||#947	May mua chưa dược một tháng mặt bao nhiêu vay qtv
18||#959	PMH 200000đ có hỗ trợ mua phụ kiện không?
18||#960	Cho mình hỏi là oppo f3 thì miếng dán cường lực và miếng dán thường thì loại nào bảo vệ màng hình tốt hơn vậy
18||#961	Nhờ AD xem giúp em thông tin máy oppo F3 này với. IMEI : 865251033213474 xem giúp em là máy có chính hãng hay ko? còn bảo hành tới ngày nào với ạ?
18||#965	PMH 200 ngàn có được hỗ trợ vào giá ko?
18||#973	Cho Minh hoi.dien thoai nhan tin ko Co dau nhi. The LA sao nhi
18||#974	Say much spam tin mean lai OK cool day nhi
18||#976	Sao điện thoại của mình có 1 chấm màu đỏ bên góc phải của điện thoai là sao vậy ad
18||#977	A ơi cho em hỏi oppo f3 khi thông báo không hiển thị logo ứng dụng trên thanh trạng thái hả a, em thấy oppo f1 có mà Do máy hk hỗ trợ hả a
18||#978	Sao khi mình tắt màng hình mà sao điện thoại không tự khóa được vậy
18||#979	F3 không đổi được font chữ
18||#988	Minh muon mua oppo f3 nhung chi moi 12 tuoi thi phai lam sao?
18||#993	cho e
18||#996	Cho mình hỏi mình mới mua máy dk gần 2thag nhưng khi mình xem phim trên YouTube lại ko thấy nét và ko nhìn rõ mặt nó cứ bị lòe giống như là chưa dao loát dk ấy mặc dù nhà mk dùng Wi-Fi cho mk hoi phai lm ntn
18||#1001	Cho mình hỏi hôm bữa mình có đi mua đt Oppo f3 đc tặng phiếu mua hàng 300k, mình có bù thêm tiền vào mua cái loa nhưng mình chưa sử dụng mình có thể đổi lại k? mình sử dụng mua hàng tại shop bằng số tiền đó k ?
18||#1020	Chào oppo mình đọc thì khi mua F3 trả trước 2097000 còn mỗi tháng 815.000, mình cũng vừa mua tại Của hàng oppo họ thu thêm 1 tháng 30.000 nói là phí rủi ro, như vậy có đúng ko?
18||#1022	Cho e hỏi sao oppo f3 của e lâu lâu bật bluetooth là nó lại đứng máy cúp nguồn cũng không được rồi lát nữa tự nó cúp nguồn rồi tự nó mở là sao
18||#1024	pin oppo f3 xài trong bao lâu vậy ạ?
18||#1029	đây là sản phẩm quốc tế ạ
18||#1034	chào store hôm qua mình có mua hàng, trong hóa đơn có ghi phiếu mua hàng bitis 100k, do không để ý nên cũng không nhớ, thấy có mã mình sử dụng mã trên hóa đơn hay sao store
18||#1035	mặt sau f3 k dán keo được vậy có bị trầy không
18||#1036	Tặng PMH 100,000đ mua Biti's Hunter BQT HƯỚNG DẪN EM SỬ DỤNG VỚI Ạ
18||#1042	Mình mới mua máy nhưng không biết lần đầu bạc mấy tiếng thì rút ra vậy ad
18||#1043	Mình mới mua oppo f3 về nó hiện lên trong cài đặt là cập nhật vậy có nên cập nhật không ad
18||#1048	Nếu mua oppo f3 cũ thì có đc giao hàng tân nơi k..F3 cũ khác f3 mới chỗ nào.
18||#1051	cho hỏi oppo f3 dùng hỗn hợp liên tuc tục 5h đồng hồ thì pin dưới 10% vậy có ổn định ko à, với lai để qua đêm không dùng đã tắt các ứng dụng và wifi, 3G,4G thì sáng ra pin giảm mất 3% là sao ạ!
18||#1052	cho mình hỏi Oppo f3 có mấy màu v ad ?
18||#1054	Hôm qua e có dki hồ sơ onl đó ạ. A kiểm tra giúp e
18||#1055	Mình mua oppo f3 64g mình không sử dụng thẻ nhớ có ãnh hưởng gì đến máy khong shop
18||#1056	Chào Shop.. Em mà mua máy hôm qua nhưng khi sử dụng máy thì thấy thời lượng pin còn kém hơn oppo f1s là sao ạ.như vậy e có thể đổi trả máy như thông tin trên trang chủ của shop đc k?
18||#1064	HaoHaoHaoHaoHaom 01643980967
18||#1065	Mới sử dụng máy 3 lần đầu thì mình phải sach mấy h ạ
18||#1066	Cho em hỏi 3 lần đầu sử dụng thì cần sạc mấy h ạ
18||#1077	Mình mất hóa đơn điện thì phải làm sao ad
18||#1080	chào QTV mình vừa mua OP F3 ngoài Ninh Thuận nhưng quên Cắt SimNano ko bíp FBT ở Ô Môn có hỗ trợ cắt Sim k thế
18||#1083	cho hỏi là fpt có kinh doanh sim bùm k vậy
18||#1093	cho hỏi là fpt có hỗ trợ khi mua dt là đc mua sim bùm k vậy
18||#1098	e mua oppo f3 rồi. mới mua được 3 ngày. mà sao dt không bật wife k nge nhạc. để im buổi sáng hết 30% pin. buổi sáng sớm là pin 100% . tại e lấy máy lỗi. hay máy như vậy
18||#1099	Mình mua f3 trả góp được gần một tháng muốn đi xăng j7 pro có cách nào ko vậy
18||#1112	Ohio f3 có cần sạc 3 lần đầu 8 tiếng k ạ?
18||#1113	Đt oppo f3 của mk để từ tối đến sáng hao hơn 10% pin dù đã đẻ chê độ máy bay K biết máy có bị gì k ạ
18||#1116	tại sao ô f3 của e cứ tự động cập nhật hệ thống vậy ạ
18||#1121	Cho e hỏi e có mua oppo f3 nhưng khi kiểm tra mã vạch thì nó ra sản phẩm tìm kiếm đk là dầu gội đầu... Sao lại nv ạ
18||#1123	bạn ơi, mình mua máy đc 1 PMH và quay trúng 1 PMH300k nữa thì có thể cộng dồn vào 1 sản phẩm đc k ??
18||#1124	Cho em hỏi con oppo f3 sao sạc pin nhanh z.. Nó có bị vấn đề về pin ko ạ
18||#1126	Add ơi cho e hỏi lúc mua e đc 1 pmh bitit hunter rồi e quay số trúng đc 1 giày biti hunter nữa vậy là e đc 2 đôi giày hả add
18||#1127	mua may cu nhu may moi ko shop
18||#1129	Shop oie cho e hỏi! E mới mua oppo F3 hôm qua e sạc pin xong để từ tối tới sáng mà hao hết 5% trong khi đó e đã tắt hết tất cả ứng dụng và ko cầm tới đt vậy mà vẫn hao pin là sao hả shop???
18||#1133	Pin xài lâu k ạ ? Tính mua mà sợ mau ht pin
18||#1135	Cho hỏi em muốn đăng kí gói mobi big thì sao ạ
18||#1137	DT EM MỚI MUA HÔM 3/7. NGÀY ĐẦU TIÊN SẠC PIN EM KO SẠC ĐỦ 8 TIẾNG THÌ LẦN SẠC THỨ 2 EM SẠC 8 TIẾNG CÓ SAO KO AD
18||#1148	Cho mình hỏi mới mua máy này hôm qua mà hết pin mình có cần sạc 8 tiếng gì ko ạ , với lại nếu sạc thì mình sạc dự phòng đc ko? Mà tại hôm qua bên nhân viên có nói là không cần sạc 8 tiếng gì hết ạ
18||#1159	Mình có được đổi ốp lưng sạc không ạ
18||#1160	Trước đây em có mua bộ f3. Nhưng cái ốp lưng bị phồng pin. Cho hỏi em đổi cái ốp lưng được không ạ
18||#1162	100% trúng bộ quà thể thaobao gồm những gì vậy? Mua là chắc trúng phải k
18||#1168	Chao bn minh la mạnh hôm wa bên bn co goi cho minh ve mua con f3 nay jo s rui bn
18||#1177	Cho mình hỏi cà ưng dung nhảy đèn llápkhi có chỗ gọi mà máy ko sáng?
18||#1204	M mới mua mà k có cây chọc sim rồi
18||#1215	mình mới mua đúng 5 ngày trước mà trong hộp ko có sạc dự phòng cùng gậy tự sướng
18||#1216	Mình mà mua tuần trước ko có sạc dự phòng và gậy tự sướng
18||#1223	Nhà mình có ng nợ xấu bên FE :( Nên mình đã dùng ACS để mua và còn 2 tháng nữa hết, tính mua thêm con này mà lãi bên ACS cao quá
18||#1225	Hơi chủ nhật nv có làm ko rứa mấy a.c
18||#1226	Cho e hỏi cây gậy selfie kèm đèn flash của oppo F3 sạc trong bao lâu vậy ạ
18||#1232	Làm thế nào để phân biệt hàng đã bóc hộp và chưa bóc hộp của điện thoại oppof3.
18||#1242	Ad cho mình hỏi tại sao máy của mình khi sạcpin đèn led không báo
18||#1251	Sao oppof 3.facebook kg co dịch tiếng
18||#1253	MINH
18||#1259	Mình vừa mua oppo f3 trả góp Mình thắc mắc sai mình ko đk khuyến mại bộ phụ kiện của hãng z luc mua cũng ko thấy nhân viên noi đến
18||#1262	co anh chi nao lam o FPT Tổ 12 Bến Đình, Tân Thành, Bà Rịa - Vũng Tàu cho em hoi cai nay voi
18||#1285	cho e hỏi phiên bản màu đen có giới hạn k ạ
18||#1292	Cho em hỏi mình ghé fpt shop xem trước rồi ghé mua sau có được không
18||#1300	Cho em hỏi cái này có được không ạ
18||#1303	Mấy còn nguyên seal ko ạ
18||#1350	Em có dán điện thoại ở fpt long thành trưa hết hạn dán vậy em lên fpt biên hòa dán có tính phí ko ạ
18||#1352	Cho em hỏi? Với cấu hình cùng camera mạnh hơn F1s17 tại sao Oppo f3 lại có giá bằng Oppo f1s17 v ạ
18||#1365	em có đặt cọc oppo f3 đen tại fpt A1-3 Khu Phố Chợ Mới Quản Thủ, Thị Trấn Long Thành, Huyện Long bây giờ em cầm giấy đặt cọc vô fpt Khu 465, Khu 4, Ấp 8, Xã An Phước, Huyện Long Thành lấy máy đc không ad và hiện tại thì oppo f3 đã về hàng ở những điểm trên chưa
18||#1372	Con f3 này sài óp lưng của f1s đc chứ ạ
18||#1379	Cửa hàng có mặ sau máy oppo f3 không
18||#1384	Cho em hỏi trả góp 0% có đc nhận quà như trên không ạ ? , và phiên bản màu đen chừng nào có tại fpt shop cà mau vậy ạ ?
18||#1387	tại sao Oppo F3 không báo đèn khi sạc?
18||#1400	Em la doanh nghiep mua duoc giam gia ko vay
18||#1402	Cho e hỏi là đặt hàng online thì bao giờ mới biết kết quả ạ hay làm như thế nào ạ
18||#1403	thong bao khong hien thi tren thanh cua man hinh chinh s
18||#1409	Em noi mua f3 em vẽ mã khoa quên roi sao ạ
18||#1427	Shop cho em hỏi,, rm có thể mua máy cũ ở đâu?
18||#1433	oppo f3 khi xạc pin và để nhận các thông báo mới sao nó không hiện mắt nháy bạn nhỉ?
18||#1441	cho mình hỏi là ốp lưng của oppo r9s có dùng được cho oppo f3 không ạ?
18||#1443	Khi đặt hàng về rồi mà mình ko mua nữa có sao ko ạ
18||#1445	Cho e hỏi máy oppo f3 của nước nào ạ?
18||#1453	PMH 300k có trừ vào tiền máy không
18||#1459	sao 3 hôm trc mình mua F3 lại là hơn 7tr nhỉ
18||#1467	Cho minh hoi minh moi mua oppo f3 minh dung ốp lung sac dự phong nhung moi sac duoc 64%thi het
